,0,1,2,3,4,5,int_token,str_token
0,JORFTEXT000048734585,,0,,0,fr/lr/loi/2023-1380/2023-12-31,"[33, 15, 35, 15, 3511, 1757, 175, 982, 747, 444]","['▁fr', '/', 'lr', '/', 'loi', '/2023-1', '3', '80', '/2023-12-', '31']"
1,JORFTEXT000048734585,JORFVERS000048734585,0,,0,LOI n° 2023-1380 du 30 décembre 2023 visant à revaloriser le métier de secrétaire de mairie (1),"[3932, 79, 69, 24, 17, 635, 982, 6, 263, 75, 24, 3546, 14, 540, 1101, 299, 251, 28, 22, 2664, 1025, 3, 400, 3, 3260, 1258]","['▁LOI', '▁n', '°', '▁2023', '-', '13', '80', '▁du', '▁30', '▁décembre', '▁2023', '▁visant', '▁à', '▁re', 'val', 'or', 'is', 'er', '▁le', '▁mét', 'ier', '▁de', '▁secrétaire', '▁de', '▁mairie', '▁(1)']"
2,JORFTEXT000048734585,JORFARTI000048734586,1,1,1,"I. — Après l'article L. 2122-19 du code général des collectivités territoriales, il est inséré un article L. 2122-19-1 ainsi rédigé :","[232, 11, 8, 61, 82, 113, 9, 4, 40, 39, 11, 190, 566, 2489, 6, 68, 93, 13, 474, 1344, 5, 479, 23, 1120, 99, 8, 40, 39, 11, 190, 109, 1070, 3062, 8, 141, 639, 27]","['▁I', '.', '▁', '—', '▁A', 'près', '▁l', ""'"", 'article', '▁L', '.', '▁21', '22', '-19', '▁du', '▁code', '▁général', '▁des', '▁collectivités', '▁territoriales', ',', '▁il', '▁est', '▁inséré', '▁un', '▁', 'article', '▁L', '.', '▁21', '2', '2-1', '9-1', '▁', 'ainsi', '▁rédigé', '▁:']"
3,JORFTEXT000048734585,JORFARTI000048734586,1,1,2,"« Art. L. 2122-19-1. — Pour assurer les fonctions liées au secrétariat de mairie dans les communes de moins de 3 500 habitants, le maire nomme un agent aux fonctions de secrétaire général de mairie, sauf s'il nomme un agent pour occuper les fonctions de directeur général des services. Le secrétaire général de mairie peut exercer ses fonctions à temps partiel ou à temps non complet. »","[32, 602, 11, 39, 11, 190, 109, 1070, 3062, 11, 8, 61, 484, 2203, 25, 154, 2554, 10, 20, 1207, 3, 3260, 43, 25, 816, 3, 869, 3, 126, 3014, 4747, 5, 22, 134, 209, 620, 878, 99, 1104, 51, 154, 3, 400, 93, 3, 3260, 5, 199, 1478, 8, 10, 4, 319, 620, 878, 99, 1104, 37, 8, 4463, 25, 154, 3, 87, 93, 13, 177, 11, 49, 400, 93, 3, 3260, 472, 363, 277, 154, 14, 1595, 2686, 63, 14, 1595, 488, 2909, 11, 45]","['▁«', '▁Art', '.', '▁L', '.', '▁21', '2', '2-1', '9-1', '.', '▁', '—', '▁Pour', '▁assurer', '▁les', '▁fonctions', '▁liée', 's', '▁au', '▁secrétariat', '▁de', '▁mairie', '▁dans', '▁les', '▁communes', '▁de', '▁moins', '▁de', '▁3', '▁500', '▁habitants', ',', '▁le', '▁mai', 're', '▁nom', 'me', '▁un', '▁agent', '▁aux', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', ',', '▁sa', 'uf', '▁', 's', ""'"", 'il', '▁nom', 'me', '▁un', '▁agent', '▁pour', '▁', 'occuper', '▁les', '▁fonctions', '▁de', '▁directeur', '▁général', '▁des', '▁services', '.', '▁Le', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁peut', '▁exercer', '▁ses', '▁fonctions', '▁à', '▁temps', '▁partiel', '▁ou', '▁à', '▁temps', '▁non', '▁complet', '.', '▁»']"
4,JORFTEXT000048734585,JORFARTI000048734586,1,1,3,"II. — L'article L. 2122-19-1 du code général des collectivités territoriales, dans sa rédaction résultant du I du présent article, est ainsi rédigé :","[308, 11, 8, 61, 39, 4, 40, 39, 11, 190, 109, 1070, 3062, 6, 68, 93, 13, 474, 1344, 5, 43, 199, 2249, 2319, 92, 6, 232, 6, 47, 8, 40, 5, 23, 8, 141, 639, 27]","['▁II', '.', '▁', '—', '▁L', ""'"", 'article', '▁L', '.', '▁21', '2', '2-1', '9-1', '▁du', '▁code', '▁général', '▁des', '▁collectivités', '▁territoriales', ',', '▁dans', '▁sa', '▁rédaction', '▁résult', 'ant', '▁du', '▁I', '▁du', '▁présent', '▁', 'article', ',', '▁est', '▁', 'ainsi', '▁rédigé', '▁:']"
5,JORFTEXT000048734585,JORFARTI000048734586,1,1,4,"« Art. L. 2122-19-1. — Pour assurer les fonctions liées au secrétariat de mairie dans les communes de moins de 2 000 habitants, le maire nomme aux fonctions de secrétaire général de mairie un agent relevant d'un corps ou d'un cadre d'emplois classé au moins dans la catégorie B.","[32, 602, 11, 39, 11, 190, 109, 1070, 3062, 11, 8, 61, 484, 2203, 25, 154, 2554, 10, 20, 1207, 3, 3260, 43, 25, 816, 3, 869, 3, 111, 746, 4747, 5, 22, 134, 209, 620, 878, 51, 154, 3, 400, 93, 3, 3260, 99, 1104, 629, 16, 4, 74, 250, 63, 16, 4, 74, 285, 16, 4, 1701, 2075, 20, 869, 43, 7, 1161, 94, 11]","['▁«', '▁Art', '.', '▁L', '.', '▁21', '2', '2-1', '9-1', '.', '▁', '—', '▁Pour', '▁assurer', '▁les', '▁fonctions', '▁liée', 's', '▁au', '▁secrétariat', '▁de', '▁mairie', '▁dans', '▁les', '▁communes', '▁de', '▁moins', '▁de', '▁2', '▁000', '▁habitants', ',', '▁le', '▁mai', 're', '▁nom', 'me', '▁aux', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁un', '▁agent', '▁relevant', '▁d', ""'"", 'un', '▁corps', '▁ou', '▁d', ""'"", 'un', '▁cadre', '▁d', ""'"", 'emplois', '▁classé', '▁au', '▁moins', '▁dans', '▁la', '▁catégorie', '▁B', '.']"
6,JORFTEXT000048734585,JORFARTI000048734586,1,1,5,"« Pour assurer les fonctions liées au secrétariat de mairie dans les communes de 2 000 habitants et plus, le maire nomme aux fonctions de secrétaire général de mairie un agent relevant d'un corps ou d'un cadre d'emplois classé dans la catégorie A, sauf s'il nomme un agent pour occuper les fonctions de directeur général des services.","[32, 484, 2203, 25, 154, 2554, 10, 20, 1207, 3, 3260, 43, 25, 816, 3, 111, 746, 4747, 12, 544, 5, 22, 134, 209, 620, 878, 51, 154, 3, 400, 93, 3, 3260, 99, 1104, 629, 16, 4, 74, 250, 63, 16, 4, 74, 285, 16, 4, 1701, 2075, 43, 7, 1161, 82, 5, 199, 1478, 8, 10, 4, 319, 620, 878, 99, 1104, 37, 8, 4463, 25, 154, 3, 87, 93, 13, 177, 11]","['▁«', '▁Pour', '▁assurer', '▁les', '▁fonctions', '▁liée', 's', '▁au', '▁secrétariat', '▁de', '▁mairie', '▁dans', '▁les', '▁communes', '▁de', '▁2', '▁000', '▁habitants', '▁et', '▁plus', ',', '▁le', '▁mai', 're', '▁nom', 'me', '▁aux', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁un', '▁agent', '▁relevant', '▁d', ""'"", 'un', '▁corps', '▁ou', '▁d', ""'"", 'un', '▁cadre', '▁d', ""'"", 'emplois', '▁classé', '▁dans', '▁la', '▁catégorie', '▁A', ',', '▁sa', 'uf', '▁', 's', ""'"", 'il', '▁nom', 'me', '▁un', '▁agent', '▁pour', '▁', 'occuper', '▁les', '▁fonctions', '▁de', '▁directeur', '▁général', '▁des', '▁services', '.']"
7,JORFTEXT000048734585,JORFARTI000048734586,1,1,6,"« Quel que soit le nombre d'habitants de la commune, le secrétaire général de mairie peut exercer ses fonctions à temps partiel ou à temps non complet. »","[32, 8, 2773, 432, 171, 1307, 22, 340, 16, 4, 1015, 1600, 1517, 10, 3, 7, 1048, 5, 22, 400, 93, 3, 3260, 472, 363, 277, 154, 14, 1595, 2686, 63, 14, 1595, 488, 2909, 11, 45]","['▁«', '▁', 'Qu', 'el', '▁que', '▁soit', '▁le', '▁nombre', '▁d', ""'"", 'ha', 'bi', 'tant', 's', '▁de', '▁la', '▁commune', ',', '▁le', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁peut', '▁exercer', '▁ses', '▁fonctions', '▁à', '▁temps', '▁partiel', '▁ou', '▁à', '▁temps', '▁non', '▁complet', '.', '▁»']"
8,JORFTEXT000048734585,JORFARTI000048734586,1,1,7,III. — Le II du présent article entre en vigueur le 1er janvier 2028.,"[429, 11, 8, 61, 49, 308, 6, 47, 8, 40, 288, 19, 478, 22, 50, 28, 100, 218, 824, 11]","['▁III', '.', '▁', '—', '▁Le', '▁II', '▁du', '▁présent', '▁', 'article', '▁entre', '▁en', '▁vigueur', '▁le', '▁1', 'er', '▁janvier', '▁20', '28', '.']"
9,JORFTEXT000048734585,JORFARTI000048734587,1,2,1,"Par dérogation à l'article L. 523-1 du code général de la fonction publique, à compter du quatrième mois suivant la publication de la présente loi et jusqu'au 31 décembre 2027, les fonctionnaires de catégorie C relevant des grades d'avancement de leur cadre d'emplois respectif et exerçant les fonctions de secrétaire général de mairie peuvent bénéficier d'une promotion interne dans un cadre d'emplois de la catégorie B, selon les modalités prévues à l'article L. 523-5 du code général de la fonction publique, sans qu'une proportion de postes ouverts à la promotion soit préalablement déterminée.","[53, 1843, 14, 9, 4, 40, 39, 11, 8, 932, 1261, 6, 68, 93, 3, 7, 401, 220, 5, 14, 64, 28, 6, 1671, 362, 437, 7, 274, 3, 7, 1656, 373, 12, 530, 304, 4, 248, 233, 75, 218, 971, 5, 25, 931, 3, 1161, 115, 629, 13, 261, 10, 16, 4, 1907, 3, 257, 285, 16, 4, 1701, 664, 1316, 12, 1363, 25, 154, 3, 400, 93, 3, 3260, 470, 1991, 16, 4, 56, 899, 628, 43, 99, 285, 16, 4, 1701, 3, 7, 1161, 94, 5, 8, 10, 1055, 25, 560, 298, 14, 9, 4, 40, 39, 11, 8, 932, 3156, 6, 68, 93, 3, 7, 401, 220, 5, 8, 995, 348, 4, 56, 4542, 3, 383, 1228, 14, 7, 899, 1307, 3616, 1494, 527, 11]","['▁Par', '▁dérogation', '▁à', '▁l', ""'"", 'article', '▁L', '.', '▁', '52', '3-1', '▁du', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', ',', '▁à', '▁compt', 'er', '▁du', '▁quatrième', '▁mois', '▁suivant', '▁la', '▁publication', '▁de', '▁la', '▁présente', '▁loi', '▁et', '▁jus', 'qu', ""'"", 'au', '▁31', '▁décembre', '▁20', '27', ',', '▁les', '▁fonctionnaires', '▁de', '▁catégorie', '▁C', '▁relevant', '▁des', '▁grade', 's', '▁d', ""'"", 'avancement', '▁de', '▁leur', '▁cadre', '▁d', ""'"", 'emplois', '▁respect', 'if', '▁et', '▁exerçant', '▁les', '▁fonctions', '▁de', '▁secrétaire', '▁général', '▁de', '▁mairie', '▁peuvent', '▁bénéficier', '▁d', ""'"", 'une', '▁promotion', '▁interne', '▁dans', '▁un', '▁cadre', '▁d', ""'"", 'emplois', '▁de', '▁la', '▁catégorie', '▁B', ',', '▁', 's', 'elon', '▁les', '▁modalités', '▁prévues', '▁à', '▁l', ""'"", 'article', '▁L', '.', '▁', '52', '3-5', '▁du', '▁code', '▁général', '▁de', '▁la', '▁fonction', '▁publique', ',', '▁', 'sans', '▁qu', ""'"", 'une', '▁proportion', '▁de', '▁postes', '▁ouverts', '▁à', '▁la', '▁promotion', '▁soit', '▁préalablement', '▁détermin', 'ée', '.']"
